Code;Identification;Code de l'instrument lié;Ident. de l'instrument lié;Valeur nominale;Unité;Désignation;Type de relation;Commentaire;Étalonné;Groupe;N° de voie
PLAST-60;CCOM0011;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0011;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0011;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0011;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0011;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0012;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0012;PLAST-60;CLAB0315;;;;;;1;/;
PLAST-60;CCOM0012;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0012;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0012;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0012;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0012;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0013;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0013;PLAST-60;CLAB0315;;;;;;1;/;
PLAST-60;CCOM0013;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0013;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0013;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0013;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0013;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0014;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0014;PLAST-60;CLAB0315;;;;;;1;/;
PLAST-60;CCOM0014;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0014;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0014;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0014;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0014;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0015;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0015;PLAST-60;CLAB0315;;;;;;1;/;
PLAST-60;CCOM0015;PLAST-60;CLAB0316;;;;;;1;/;
PLAST-60;CCOM0015;PLAST-60;CLAB0317;;;;;;1;/;
PLAST-60;CCOM0015;PLAST-60;CLAB0318;;;;;;1;/;
PLAST-60;CCOM0015;PLAST-60;CLAB0319;;;;;;1;/;
PLAST-60;CCOM0015;PLAST-60;CLAB0320;;;;;;1;/;
PLAST-60;CCOM0016;PLAST-60;CLAB0314;;;;;;1;/;
PLAST-60;CCOM0016;PLAST-60;CLAB0315;;;;;;1;/;
