Affectation;Sous-Affectation;Désignation;Informations liées (Identification, Désignation, N° de série);Identification;Gamme;Tolérance;Avis;Etat d'utilisation;Date d'intervention;Prochaine date d'intervention;Périodicité;N° de série;Commentaire
FEP;FEP-008 (SALLE CHAUDE N°4);Soaking room;;CFEP0005;40 °C;±2 °C;Conforme;En service;26/08/2021 10:45;26/08/2023 10:45;24 Mois;NA;"réunion 02/02/2018: Non conforme, Prévoir une maintenance. Utilisation avec Thermocouple contrôle régulier.

12/07/2018; Vérification étanchéité de la porte.+ brassage de la salle.

"
FEP;FEP-001;Soaking room;;CFEP0030;-40/+70 °C;±2 °C;Conforme;En service;22/08/2022 09:44;22/08/2023 09:44;12 Mois;5,3726E+13;
FEP;FEP-002;Soaking room;;CFEP0031;-40/+70 °C;±2 °C;Conforme;En service;24/08/2022 14:22;24/08/2023 14:22;12 Mois;5,3726E+13;
EPE;A-ATEX-01;Pressure sensor;;CFEP0041;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;21/07/2021 08:28;21/07/2023 08:28;24 Mois;2674964/2007;
FEP;FEP-002;Pressure sensor;;CFEP0120;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;21/07/2021 08:44;21/07/2023 08:44;24 Mois;538158;
FEP;FEP-003;Pressure sensor;;CFEP0139;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;21/07/2021 08:37;21/07/2023 08:37;24 Mois;4436874;
FEP;FEP-003;Pressure sensor;;CFEP0146;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;21/07/2021 10:06;21/07/2023 10:06;24 Mois;4436011;
FEP;FEP-003;Pressure sensor;;CFEP0147;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;21/07/2021 09:27;21/07/2023 09:27;24 Mois;4438516;
FEP;FEP-036 (ORVR);Pressure sensor;;CFEP0149;0/100 mbar;±0,5 mbar;Conforme;Alerte Etalonnage/Vérification;21/07/2021 09:41;21/07/2023 09:41;24 Mois;10170020;
FEP;FEP-026 (SALLE CHAUDE N°7) ;Soaking room;;CFEP0202;-40/+70 °C;±2 °C;Conforme;Alerte Etalonnage/Vérification;01/08/2022 00:00;01/08/2023 00:00;12 Mois;NA;
