Affectation;Sous-Affectation;Désignation;Informations liées (Identification, Désignation, N° de série);Identification;Gamme;Tolérance;Avis;Etat d'utilisation;Date d'intervention;Prochaine date d'intervention;Périodicité;N° de série;Commentaire
SCR;SCR AREA;Scale;;CSCR0301;0/30 kg;±0,01 %RV;Conforme;Retard (dans tolérance) Etalonnage/Vérification;09/06/2021 11:50;09/06/2023 11:50;24 Mois;NA;
SCR;MET003 ;Climatic chamber;;CSCR0313;-40/+100 °C;±2 °C;Conforme;Alerte Etalonnage/Vérification;12/07/2022 13:41;12/07/2023 13:41;12 Mois;5240;"
02/05/2018: TOL: +/- 1,5 °C à +/- 2°C."
SCR;PPM-SCR-14;Stabilized power supply;;CSCR0316;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;07/07/2021 14:55;07/07/2023 14:55;24 Mois;NA;
SCR;PPM-SCR-21;Stabilized power supply;;CSCR0318;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;04/08/2021 00:00;04/08/2023 00:00;24 Mois;NA;
SCR;PPM-SCR-21;Stabilized power supply;;CSCR0327;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;04/08/2021 11:40;04/08/2023 11:40;24 Mois;NA;
SCR;PPM-SCR-21;Stabilized power supply;;CSCR0362;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;04/08/2021 13:45;04/08/2023 13:45;24 Mois;NA;
SCR;PPM-SCR-21;Stabilized power supply;;CSCR0366;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;04/08/2021 14:39;04/08/2023 14:39;24 Mois;NA;
SCR;PPM-SCR-21;Stabilized power supply;;CSCR0367;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;04/08/2021 14:18;04/08/2023 14:18;24 Mois;NA;
SCR;PPM-SCR-21;Stabilized power supply;;CSCR0368;"0/20 V;0/38 A";"± 0,5V; Approach device";Conforme;Alerte Etalonnage/Vérification;04/08/2021 14:45;04/08/2023 14:45;24 Mois;NA;
SCR;A-SCR-03;Pressure gauge;;CSCR0383;-1/+3 bar;±30 mbar;Conforme;Alerte Etalonnage/Vérification;27/07/2021 13:45;27/07/2023 13:45;24 Mois;NA;
MET;ARMOIRE;Pressure gauge;;CSCR0384;-1/+3 bar;±30 mbar;Conforme;Alerte Etalonnage/Vérification;23/07/2021 09:17;23/07/2023 09:17;24 Mois;50358;
SCR;A-SCR-03;Pressure gauge;;CSCR0386;-1/+3 bar;±30 mbar;;Perdu;;;;50908;
SCR;SCR AREA;Pressure gauge;;CSCR0387;-1/+3 bar;±30 mbar;;Perdu;;;;50375;
SCR;PERDU;Height gauge;;CSCR0462;0/300 mm;±0,1 mm;Conforme;Envoi Etalonnage/Vérification en cours;03/06/2021 00:00;03/06/2023 00:00;24 Mois;G302974;
SCR;A-SCR-02;OXYMETER;;CSCR0471;10/190 %;±1.5%;Conforme;Alerte Etalonnage/Vérification;25/06/2021 00:00;25/06/2023 00:00;24 Mois;16091684;
SCR;A-SCR-02;Pressure sensor;;CSCR0646;-200/+200 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;05/07/2021 14:46;05/07/2023 14:46;24 Mois;10637505;
SCR;A-SCR-02;Pressure sensor;;CSCR0648;-200/+200 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;05/07/2021 14:53;05/07/2023 14:53;24 Mois;10637495;
SCR;A-SCR-02;Pressure sensor;;CSCR0656;-200/+200 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;15/06/2021 09:58;15/06/2023 09:58;24 Mois;10667717;
SCR;A-SCR-02;Pressure sensor;;CSCR0657;-200/+200 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;14/06/2021 00:00;14/06/2023 00:00;24 Mois;10667719;
SCR;A-SCR-02;Pressure sensor;;CSCR0659;-200/+200 mbar;±1 mbar;Conforme;Alerte Etalonnage/Vérification;16/06/2021 00:00;16/06/2023 00:00;24 Mois;10667721;
