Code;Identification;Localisation;Domaine de mesure;Famille d'instrument;Désignation;Etat d'utilisation;Fourniseur;Gestionnaire;Intervention;Périodicité Arg;Périodicité Nb;Procédure;Tolérance;Tolérance Arg;Durée (j);Durée (h);Durée (min);Seuil alerte;Seuil alerte Arg;Type périodicité;Calcul de périodicité;Date campagne;Anticipation;Nom intervention mise en sommeil;Nom intervention remise en service;Lieu d'intervention;Entrée/Sortie via mouvements;Prestataire;Détail;Coefficient d'utilisation
PLAST-60;CSCR0155;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-02;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0156;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-02;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0157;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-02;Electricité;Variable;Stabilized power supply;Non soumis à l'étalonnage;;Y.SKOCZEK;Etalonnage/Vérification;Mois;96;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0158;MECATRONIQUE / CAL / Armoire;Electricité;Variable;Stabilized power supply;En service;;F. TETAUD;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0159;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-10;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0160;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-10;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0161;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-10;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0162;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-10;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0163;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-10;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
PLAST-60;CSCR0164;LABORATOIRE DEVELOPPEMENT / SCR / PPM-SCR-10;Electricité;Variable;Stabilized power supply;En service;;Y.SKOCZEK;Etalonnage/Vérification;Mois;24;/;30;Jours;;;;60;Jours;Non;Glissante;;;;;En laboratoire;Oui;;;
